State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Oklahoma,0.03732450743494424,0.034316090836653386,0.03125879261672095,0.03548825886524823,0.03247035312747427,0.03396279024390244,0.03052258237547893,0.026173961922030826,0.02659176724137931,0.028389079957356077,0.029254605415860734,0.03581864994298746,0.032623923122065725,0.03017072299168975,0.029898890718562873,0.026096294382022472,0.025687794520547945
Oregon,NA,NA,NA,NA,NA,NA,NA,0.017612108225108225,0.019139314024390244,0.019251651296829972,0.019020553424657534,0.018564717391304348,0.021104802469135802,0.01759111111111111,0.020886377811094453,0.019680350684931507,NA
Pennsylvania,0.024540702556158017,0.027188432785374098,0.028253973774913833,0.02534669878419453,0.024407130506940253,0.027749322358794265,0.027407025957972807,0.028704102822580645,0.027023814529803052,0.025312007236292792,0.028052498393077874,0.024840284002179046,0.024558109260254344,0.024817554072790293,0.026065943890274314,0.027685623518402994,0.027918885714285715
Rhode Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030741,0.03146173385518591,0.02989392372881356,0.029158567642956764,0.02918516388888889,0.03233368595041322
South Carolina,NA,NA,NA,0.03203885454545455,NA,NA,0.033527689655172416,0.032382234323432346,0.030829743034055727,0.028979456747404844,0.03257925862068965,NA,NA,NA,NA,NA,0.02976055172413793
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030389317348377996,0.031631964383561646,0.031069749461593684,0.03117449929676512,0.024084313821138213,NA
Tennessee,NA,NA,0.03387180273972603,0.034201764705882355,NA,NA,NA,NA,0.03508462711864407,0.038652490506329115,0.04434198916967509,NA,NA,NA,NA,0.03754858963282937,0.0379645900621118
Texas,0.024589549204771372,0.025967206936416184,0.028803292330677292,0.027017634333821375,0.024734403521379806,0.02712176794002142,0.025674212244897958,0.024283041194644694,0.02472001047753375,0.023980757853130853,0.025233743079067915,0.02757172353202847,0.02716339853095488,0.026478036865538734,0.025291486446064684,0.024903591577162237,0.026514834285714287
Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027011418282548477,0.036994091539528436,0.03455843460764588,0.02741368152866242,0.02773381422924901,0.013307619047619047
Virginia,0.022608621759622936,NA,NA,NA,NA,NA,0.025570743737166324,0.029769137535816618,0.02687980072840791,0.026451439790575917,0.03472690058479532,0.033163537242472264,0.031057342729970325,0.02744015909090909,0.029965174880763116,0.02929027519379845,0.022907900000000002
Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015162108108108108,0.029978190476190478,0.02146849404761905,0.015901241379310344
Wisconsin,NA,NA,NA,NA,NA,NA,0.02308155459770115,0.01514241935483871,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,NA,NA,NA,NA,NA,NA,NA,0.04041620498614958,0.039817488745980706,NA,NA,0.03789019063545151,0.0370499625,0.039276906555090654,0.037302980437284236,0.036615062209842154,0.03914851111111111
